Movie_id,Title,Year,Genre,Director,Producer,Writer,Actress,Actor,MPAA,Rating
2394675,7 Assassins,2013,Adventure,"Tsang, Eric","Tsang, Eric","Tsang, Eric","Leung, Gigi","Chan, Ho-Man",R ,5.3
2394681,7 Below,2012,Horror,"Fischer, Eric","Baha, Christian","Fischer, Eric","Da Costa, Rebecca","Baha, Christian",R ,3.2
2395116,7500,2014,Horror,"Ferrara, Jerry","Boyd, Rootie J.","Boyd, Rootie J.","Bibb, Leslie","Boyd, Rootie J.",PG-13 ,4.9
2395202,7eventy 5ive,2007,Horror,"Chase, Jonathan","Chase, Jonathan","Chase, Jonathan","Batsford, Erin","Alvi, Naeem",R ,4.7
2395306,8 femmes,2002,Comedy,"Ardant, Fanny","Deneuve, Catherine","Ardant, Fanny","Ardant, Fanny","Lamure, Dominique",R ,7.1
2395318,8 Heads in a Duffel Bag,1997,Comedy,"Basile, Joe","Basile, Joe","Basile, Joe","Cannon, Dyan","Anderson, Darius",R ,5.2
2395346,8 Mile,2002,Drama,"Barnhardt, Malik","Barnhardt, Malik","Barnhardt, Malik","Basinger, Kim","Adams, Allen",R ,7
2395393,8 Seconds,1994,Drama,"Baldwin, Stephen","Baldwin, Stephen","Ramirez, Xavier","Bonoff, Karla","Alexander, Paul",PG-13 ,6.5
2395425,8 ﾽ Women,1999,Drama,"Greenaway, Peter","Collette, Toni","Greenaway, Peter","Amal, Natacha","Bogachov, Vladimir",R ,5.8
2395509,800 balas,2002,Drama,"Aguilar, Francisco","Aguilar, Francisco","Aguilar, Francisco","Castillo, Lucia","Aguilar, Francisco",R ,6.4
2395631,88 Minutes,2007,Thriller,"Moyer, Stephen","Eklund, Michael","Fletcher, Brendan","Brenneman, Amy","Adamthwaite, Michael",R ,5.9
2395660,8: The Mormon Proposition,2010,Documentary,"Black, Dustin Lance","Black, Dustin Lance","Black, Dustin Lance","Bird, Melissa","Anderson, Rocky",R ,7.1
2395693,8MM,1999,Thriller,"Amico, Robert","Amico, Robert","Amico, Robert","Aros, Claudia","Amico, Robert",R ,6.5
2395727,9,2009,Thriller,"Glover, Crispin","Glover, Crispin","Glover, Crispin","Connelly, Jennifer","Glover, Crispin",PG-13 ,7.1
2395758,9 Dead Gay Guys,2002,Comedy,"Berkoff, Steven","Godley, Simon","Berkoff, Steven","Coppins, Karen","Aderemi, Deban",R ,6.3
2395823,9 rota,2005,Drama,"Bashirov, Aleksandr","Bondarchuk, Fedor","Bashirov, Aleksandr","Ivanova, Svetlana","Arutyunyan, Evgeniy",R ,7.2
2395983,90 Minutes in Heaven,2015,Drama,"Cornwell, Matt","Christensen, Hayden","Cornwell, Matt","Barrett, Cynthia","Able, Garrett",PG-13 ,4.3
2396103,95 Miles to Go,2004,Documentary,"Caltabiano, Tom","Caltabiano, Tom","Caltabiano, Tom","Steele, Jearlyn","Caltabiano, Tom",R ,5.8
2396118,96 Minutes,2011,Thriller,"Baines, Derrick","Baines, Derrick","Baines, Derrick","Aluko, Sope","Baines, Derrick",R ,5.8
2396182,99 Homes,2014,Drama,"Evermore, J.D.","Brown, Clancy","Evermore, J.D.","Barr�, Nicole","Angelette, Joseph",R ,7.3
2396211,99%: The Occupy Wall Street Collaborative Film,2013,Documentary,"Riley, Boots","Davidzon, Florencia","Wolf, Naomi","Wolf, Naomi","Riley, Boots",R ,6.4
2396781,A Beautiful Mind,2001,Drama,"Abbott Jr., Michael","Abbott Jr., Michael","Bettany, Paul","Bahris, Fileena","Abbott Jr., Michael",PG-13 ,8.2
2396794,A Beautiful Soul,2012,Drama,"Brooks, Jerome Ro","Brooks, Jerome Ro","Floyd, Barry","Brandt, Lesley-Ann","Brenher, Matthew",PG-13 ,6.4
2396839,A Beginner's Guide to Endings,2010,Drama,"Bostick, Jesse","Bostick, Jesse","Bostick, Jesse","Appel, Alex","Abel, Horace",R ,6.4
2396868,A Belle for Christmas,2014,Family,"Cain, Dean","Bower, Christopher","Bower, Christopher","Adkins, Trinity","Berry, Connor",PG ,6.3
2396908,A Better Life,2011,Drama,"Avitia, Ruben","Avitia, Ruben","Avitia, Ruben","Acosta, Tadie","Ambriz, Henry",PG-13 ,7.2
2396947,A Better Way to Die,2000,Thriller,"Braugher, Andre","Argenziano, Carmen","Lewis, B'nard","Basinger, Jeanine","Argenziano, Carmen",R ,5.7
